Participant_ID,Role,Interview_Date,Question_Code,Initial_Code,Candidate_Theme,Final_Theme,Supporting_Quote,Quant_Finding_Link,Integration_Type,Analyst_Note
P01,Digital Banking Manager,2026-07-19,IQ1,IQ1: churn drivers observed in practice - service improvement noted,Service improvement,Service improvement,"""Measure saved relationships, not just model AUC."" [SYNTHETIC]",Direct churn-reduction M=2.94,Complements,SYNTHETIC demo coding for methods illustration.
P01,Digital Banking Manager,2026-07-21,IQ2,IQ2: silent churn / multi-banking signs - enterprise ownership noted,Enterprise ownership,Enterprise ownership,"""RACI and a weekly review beat another model tweak."" [SYNTHETIC]",Cross-functional ownership M=3.42,Converges,SYNTHETIC demo coding for methods illustration.
P01,Digital Banking Manager,2026-07-02,IQ3,IQ3: AI use for behavioural monitoring - enterprise ownership noted,Enterprise ownership,Enterprise ownership,"""Retention fails when it belongs to nobody; it needs business, data, tech and CX at one table."" [SYNTHETIC]",Cross-functional ownership M=3.42,Converges,SYNTHETIC demo coding for methods illustration.
P01,Digital Banking Manager,2026-07-24,IQ4,IQ4: risk scoring and early warning - early warning noted,Early warning,Early warning,"""The model can identify a customer who is likely to leave, but if the bank does nothing with that information, the prediction has no commercial value."" [P03 seed paraphrase - SYNTHETIC] [SYNTHETIC]",Risk scoring M=3.38,Converges,SYNTHETIC demo coding for methods illustration.
P01,Digital Banking Manager,2026-07-14,IQ5,IQ5: explainability and reason codes - service improvement noted,Service improvement,Service improvement,"""No model compensates for persistent downtime - fix service, then optimize offers."" [SYNTHETIC]",Direct churn-reduction M=2.94,Complements,SYNTHETIC demo coding for methods illustration.
P01,Digital Banking Manager,2026-07-22,IQ6,IQ6: retention targeting and prioritization - enterprise ownership noted,Enterprise ownership,Enterprise ownership,"""Retention fails when it belongs to nobody; it needs business, data, tech and CX at one table."" [SYNTHETIC]",Cross-functional ownership M=3.42,Converges,SYNTHETIC demo coding for methods illustration.
P01,Digital Banking Manager,2026-07-23,IQ7,IQ7: treatment selection and timing - trust noted,Trust,Trust,"""Once trust drops after a fraud scare, activity migrates quietly."" [SYNTHETIC]",Trust M=3.35,Converges,SYNTHETIC demo coding for methods illustration.
P01,Digital Banking Manager,2026-07-08,IQ8,IQ8: human oversight and accountability - early warning noted,Early warning,Early warning,"""The model can identify a customer who is likely to leave, but if the bank does nothing with that information, the prediction has no commercial value."" [P03 seed paraphrase - SYNTHETIC] [SYNTHETIC]",Risk scoring M=3.38,Converges,SYNTHETIC demo coding for methods illustration.
P01,Digital Banking Manager,2026-07-27,IQ9,IQ9: data integration and quality - human oversight noted,Human oversight,Human oversight,"""The data team can build the model, but they cannot be responsible for the entire retention outcome. The business has to own the outcome."" [P04 seed paraphrase - SYNTHETIC] [SYNTHETIC]",Human oversight M=3.18,Converges,SYNTHETIC demo coding for methods illustration.
P01,Digital Banking Manager,2026-07-14,IQ10,IQ10: cross-functional ownership - operational action noted,Operational action,Operational action,"""Scores sitting in a dashboard change nothing; someone must own the next action."" [SYNTHETIC]",AI insight integration M=2.58,Complements,SYNTHETIC demo coding for methods illustration.
P01,Digital Banking Manager,2026-07-14,IQ11,"IQ11: governance, NDPA compliance, fairness - targeting noted",Targeting,Targeting,"""Treat everyone the same and you waste budget and annoy customers."" [SYNTHETIC]",Risk plus value M=3.40,Converges,SYNTHETIC demo coding for methods illustration.
P01,Digital Banking Manager,2026-07-22,IQ12,IQ12: what would prove value (pilot/metrics) - service improvement noted,Service improvement,Service improvement,"""Measure saved relationships, not just model AUC."" [SYNTHETIC]",Direct churn-reduction M=2.94,Complements,SYNTHETIC demo coding for methods illustration.
P02,Data Scientist,2026-07-10,IQ1,IQ1: churn drivers observed in practice - human oversight noted,Human oversight,Human oversight,"""AI proposes, a named human disposes - especially on complaints."" [SYNTHETIC]",Human oversight M=3.18,Converges,SYNTHETIC demo coding for methods illustration.
P02,Data Scientist,2026-07-06,IQ2,IQ2: silent churn / multi-banking signs - service improvement noted,Service improvement,Service improvement,"""No model compensates for persistent downtime - fix service, then optimize offers."" [SYNTHETIC]",Direct churn-reduction M=2.94,Complements,SYNTHETIC demo coding for methods illustration.
P02,Data Scientist,2026-07-24,IQ3,IQ3: AI use for behavioural monitoring - enterprise ownership noted,Enterprise ownership,Enterprise ownership,"""Retention fails when it belongs to nobody; it needs business, data, tech and CX at one table."" [SYNTHETIC]",Cross-functional ownership M=3.42,Converges,SYNTHETIC demo coding for methods illustration.
P02,Data Scientist,2026-07-02,IQ4,IQ4: risk scoring and early warning - targeting noted,Targeting,Targeting,"""Risk times value tells me who gets the scarce retention slot."" [SYNTHETIC]",Risk plus value M=3.40,Converges,SYNTHETIC demo coding for methods illustration.
P02,Data Scientist,2026-07-04,IQ5,IQ5: explainability and reason codes - operational action noted,Operational action,Operational action,"""Scores sitting in a dashboard change nothing; someone must own the next action."" [SYNTHETIC]",AI insight integration M=2.58,Complements,SYNTHETIC demo coding for methods illustration.
P02,Data Scientist,2026-07-13,IQ6,IQ6: retention targeting and prioritization - explainability noted,Explainability,Explainability,"""Reason codes decide whether I call, visit, or fix a fee."" [SYNTHETIC]",Explainable AI M=3.14,Complements,SYNTHETIC demo coding for methods illustration.
P02,Data Scientist,2026-07-23,IQ7,IQ7: treatment selection and timing - data integration noted,Data integration,Data integration,"""USSD versus app behaviour must be read differently."" [SYNTHETIC]",Data integration M=2.70,Complements,SYNTHETIC demo coding for methods illustration.
P02,Data Scientist,2026-07-14,IQ8,IQ8: human oversight and accountability - targeting noted,Targeting,Targeting,"""Risk times value tells me who gets the scarce retention slot."" [SYNTHETIC]",Risk plus value M=3.40,Converges,SYNTHETIC demo coding for methods illustration.
P02,Data Scientist,2026-07-11,IQ9,IQ9: data integration and quality - behavioural signals noted,Behavioural signals,Behavioural signals,"""Declining logins and shrinking ticket size show up weeks before exit."" [SYNTHETIC]",Silent-churn detection M=3.18,Converges,SYNTHETIC demo coding for methods illustration.
P02,Data Scientist,2026-07-01,IQ10,IQ10: cross-functional ownership - behavioural signals noted,Behavioural signals,Behavioural signals,"""Silent churn is the real problem; the account stays open but value leaves."" [SYNTHETIC]",Silent-churn detection M=3.18,Converges,SYNTHETIC demo coding for methods illustration.
